Регион,Случаи заболевания,Выздоровело,Умерло,Дата
Астраханская область,99,7,3,18.04.2020
Саратовская область,98,13,0,18.04.2020
Республика Северная Осетия — Алания,94,5,2,18.04.2020
Вологодская область,86,13,0,18.04.2020
Новосибирская область,86,16,2,18.04.2020
Республика Адыгея,84,15,2,18.04.2020
Белгородская область,81,9,2,18.04.2020
Новгородская область,80,4,1,18.04.2020
Волгоградская область,79,23,1,18.04.2020
Республика Калмыкия,67,9,3,18.04.2020
Приморский край,67,4,2,18.04.2020
Самарская область,64,15,0,18.04.2020
Алтайский край,63,4,0,18.04.2020
Магаданская область,62,1,0,18.04.2020
Удмуртская Республика,62,6,3,18.04.2020
Челябинская область ,61,29,0,18.04.2020
Иркутская область,54,10,2,18.04.2020
Костромская область,53,7,2,18.04.2020
Карачаево-Черкесская Республика,50,1,0,18.04.2020
Республика Саха (Якутия),47,16,0,18.04.2020
Республика Хакасия,46,3,0,18.04.2020
Республика Крым,43,21,0,18.04.2020
Псковская область,42,8,6,18.04.2020
Архангельская область,39,11,0,18.04.2020
Забайкальский край,33,4,0,18.04.2020
Омская область,31,13,0,18.04.2020
Камчатский край,29,2,0,18.04.2020
Кемеровская область,26,6,1,18.04.2020
Томская область,24,4,0,18.04.2020
Еврейская автономная область,19,4,0,18.04.2020
Сахалинская область,19,6,0,18.04.2020
Республика Карелия,15,0,0,18.04.2020
Амурская область,14,4,0,18.04.2020
Курганская область,13,3,0,18.04.2020
Севастополь,12,2,0,18.04.2020
Республика Тыва,9,0,0,18.04.2020
Республика Алтай,2,0,0,18.04.2020
Чукотский автономный округ,2,0,0,18.04.2020
Ненецкий автономный округ,1,0,0,18.04.2020
Москва,24324,1763,176,19.04.2020
Московская область,4663,162,49,19.04.2020
Санкт-Петербург,1760,239,8,19.04.2020
Нижегородская область,646,21,4,19.04.2020
Республика Коми,481,10,3,19.04.2020
Ленинградская область,417,9,0,19.04.2020
Краснодарский край,383,54,5,19.04.2020
Мурманская область,354,28,3,19.04.2020
Красноярский край,300,17,0,19.04.2020
Республика Дагестан,292,28,9,19.04.2020
Тульская область,287,39,0,19.04.2020
Брянская область,279,30,1,19.04.2020
Тверская область,270,12,0,19.04.2020
Республика Ингушетия,269,22,5,19.04.2020
Рязанская область,267,9,0,19.04.2020
Республика Марий Эл,262,24,1,19.04.2020
Республика Мордовия,258,5,1,19.04.2020
Республика Башкортостан,252,14,10,19.04.2020
Ставропольский край,232,26,3,19.04.2020
Ростовская область,232,13,0,19.04.2020
Тюменская область,227,20,2,19.04.2020
Владимирская область,225,11,5,19.04.2020
Чеченская Республика,219,19,5,19.04.2020
Пермский край,198,27,3,19.04.2020
Курская область,196,8,2,19.04.2020
Республика Чувашия,193,9,1,19.04.2020
Республика Татарстан,191,25,0,19.04.2020
Калужская область,188,9,2,19.04.2020
Тамбовская область,187,8,0,19.04.2020
Хабаровский край,185,12,4,19.04.2020
Оренбургская область,184,16,2,19.04.2020
Ивановская область,183,12,1,19.04.2020
Ханты-Мансийский АО,175,20,0,19.04.2020
Смоленская область,173,4,2,19.04.2020
Ульяновская область,168,3,2,19.04.2020
Воронежская область,156,28,5,19.04.2020
Кировская область,150,14,2,19.04.2020
Липецкая область,149,48,1,19.04.2020
Свердловская область,141,49,1,19.04.2020
Пензенская область,140,4,5,19.04.2020
Кабардино-Балкарская Республика,136,8,0,19.04.2020
Орловская область,132,10,1,19.04.2020
Калининградская область,126,30,1,19.04.2020
Астраханская область,123,9,3,19.04.2020
Республика Северная Осетия — Алания,120,7,2,19.04.2020
Ярославская область,117,12,0,19.04.2020
Ямало-Ненецкий автономный округ,116,7,1,19.04.2020
Республика Бурятия,115,37,2,19.04.2020
Саратовская область,114,13,0,19.04.2020
Новосибирская область,108,16,3,19.04.2020
Архангельская область,107,11,0,19.04.2020
Новгородская область,98,4,1,19.04.2020
Волгоградская область,93,23,1,19.04.2020
